Title,Description,URL,Category,Type,Curated,Hackaton
Decent,Enable creators and developers to own and monetize the work they produce via web3 applications that leverage NFTs as more than just digital collectibles.,https://decent.xyz/,Other,Partner,No,
Zerion,Allows for transactions with lens handles,https://zerion.io/,Other,Partner,Yes,
Snapshot,Voting polls,https://snapshot.org,DAO Tools,Partner,No,
Kleros,,https://kleros.io/,Moderation,Partner,No,
Wolrdcoin,,https://worldcoin.org/,Identity,Partner,No,
LitProtocol,,https://litprotocol.com/,Developer Tooling,Partner,No,
Arweave,,https://www.arweave.org/,Developer Tooling,Partner,No,
PoH,,https://www.proofofhumanity.id/,Identity,Partner,No,
Sybil.org,,https://sybil.org/,Identity,Partner,No,
IPFS,,https://ipfs.tech/,Developer Tooling,Partner,No,
ENS,Ethereum domain name system,https://ens.domains/,Identity,Partner,No,
POAP,,https://poap.xyz/,Identity,Partner,No,
XMTP,Chat protocol,https://xmtp.com/,Developer Tooling,Partner,No,
Freelansers,Freelance in Web3 done the safest way. Find work opportunities through the Lens social media platform. Safe and secure for both parties.,https://ethglobal.com/showcase/freelensers-3v207,Community Tool,Hackaton,Yes,ETHBogota2022
Off-chain,Off-chan spending application with social sharing features,https://ethglobal.com/showcase/off-chain-79by3,Other,Hackaton,No,ETHBogota2022
Coconnect,"We help brands save time when launching marketing campaigns with content creators. Thanks to Lens, they can search for specific influencers and contact them quickly in one step.",https://ethglobal.com/showcase/coconnect-gq5q4,Creator monetization,Hackaton,No,ETHBogota2022
Verify Me!,"We are building an aggregator system for social verification in Lens protocol so other users can check your profile and immediately identify your level of trustworthiness with a visual cue.
We are starting with social verification but we would like to add proof of humanity protocols, verification challenging, NFT minting, among other things.",https://ethglobal.com/showcase/verify-me-gcmnb,Identity,Hackaton,No,ETHBogota2022
LensNote,"Personal and Public notes creation, sharing and monetization using Lens Protocol",https://ethglobal.com/showcase/lensnote-44j3j,Social Media,Hackaton,No,ETHOnline2022
Lenspub,Fast publishing on Lens with Lenspub's wallet activity analyser.,https://ethglobal.com/showcase/lenspub-2r09m,Other,Hackaton,No,ETHOnline2022
Focalize,Browser extension that allows you to quickly share to Lens Protocol.,https://ethglobal.com/showcase/focalize-9vo88,Other,Hackaton,No,ETHOnline2022
Groumit,"Una plataforma que conecta creadores de contenido con marcas para hacer marketing de influencers. Permite realizar interacciones p2p mediante un smart contract, basándose en Lens protocol para automatizar procesos y permitir estrategias con mejor escalabilidad.",https://drive.google.com/file/d/14srmyzlUjMnL6jY99ewoqyY6La60t4Pn/view,Other,Hackaton,No,BearBuilders0922
HashLens,"Red social construida con Lens enfocada en la búsqueda y organización de contenidos personal y colectiva, donde vas a poder ordenarlos, curarlos, crearlos, explorar, coleccionar y compartir todo lo que sea de tu interés en un mismo lugar.",https://drive.google.com/file/d/1eX2KSgwNsuiY16a6eAN_iZcHbgn45KH1/view,Other,Hackaton,No,BearBuilders0922
Starlens,"Plataforma creada sobre Lens protocol en donde los usuarios pueden dar y recibir reviews sobre infinitas temáticas. En base a eso se construye una reputación segura, confiable y descentralizada del perfil en la web3.",https://drive.google.com/file/d/1-enA3it93R4IHqkussnNn-Sbi_PdrrL6/view,Social Media,Hackaton,No,BearBuilders0922
ToucanFrens,Show gratitude for social media content with CO2 retirement,https://devfolio.co/projects/toucanfrens-b4c9,Other,Hackaton,No,ETHBerlin2022
Whistleblower - Wikileaks,"Whistleblower allows anyone from all over the world to post data, ideas, thoughts, and documents, privately and securely forever using Lens Protocol",https://devfolio.co/projects/whistleblower-wikileaks-on-steroids-6e46,Other,Hackaton,No,ETHBerlin2022
TATER POT,A lottery game of hot potato & uncomfortable truths addressing bias + privacy,https://devfolio.co/projects/tater-pot-5ad8,Other,Hackaton,No,ETHBerlin2022
Lens Pocket,Your Lens Profile on iOS in a glance,https://devfolio.co/projects/lens-pocket-ad57,Other,Hackaton,No,ETHBerlin2022
RAP - Reputation Attendance,reputation-based entry for crypto events,https://devfolio.co/projects/rap-reputation-attendance-protocol-0dec,Moderation,Hackaton,No,ETHBerlin2022
Libertapp,Censorship-resistant DApp Client,https://devfolio.co/projects/libertapp-937b,Developer Tooling,Hackaton,No,ETHBerlin2022
SiC,Tokenized and memetic content sharing and interests network/graph,https://devfolio.co/projects/sic-9f96,Social Media,Hackaton,No,ETHBerlin2022
Dune & Lens Dashboard,"Dashboard uniting Lens data from the API with Dune data, expanding upon existing visualizations available on Dune with Machine Learning for interesting results",https://devfolio.co/projects/dune-and-lens-dashboard-d418,Analytics,Hackaton,No,ETHBerlin2022
OpenQ VidQ'S,Bite-sized decentralized coding tutorial videos (that solve actual GitHub issues),https://devfolio.co/projects/openq-vidqs-53e2,Social Media,Hackaton,No,ETHBerlin2022
Hedwig,quantum resistant on chain key exchange algorithm,https://devfolio.co/projects/hedwig-2d30,Other,Hackaton,No,ETHBerlin2022
Bookie Bookie,An NFT marketplace powered by AI serving authors and readers.,https://ethglobal.com/showcase/heptagon-decentralized-music-streaming-1dafa,Other,Hackaton,No,ETHMexico2022
Heptagon,It is a decentralized music streaming service through NFT's and IPFS data,https://ethglobal.com/showcase/heptagon-decentralized-music-streaming-1dafa,Other,Hackaton,No,ETHMexico2022
Mixdown,"A dapp for creating collaborative audio on top of Lens Protocol. Fork, remix, add, collect, and collaborate.",https://ethglobal.com/showcase/heptagon-decentralized-music-streaming-1dafa,Other,Hackaton,No,ETHMexico2022
Lens DAOscourse,We have built a DAO governance platform (Discourse-like) on top of the Lens protocol.,https://ethglobal.com/showcase/lens-daoscourse-g2x07,DAO Tools,Hackaton,No,LFGROW
Lenstify,Lenstify is a front-end for Lens with a great interface and many features.,https://ethglobal.com/showcase/lenstify-o736h,Developer Tooling,Hackaton,No,LFGROW
lenscan,An etherscan for lens & a LIT DAO toolkit. The toolkit allows encrypted data sharing between DApp and DAO,https://ethglobal.com/showcase/lenscan-ejodj,Other,Hackaton,No,LFGROW
lens-profile,Take ownership of You with a Web3 Decentralized Identity on Lens Profile,https://ethglobal.com/showcase/lens-profile-o0ebj,Identity,Hackaton,No,LFGROW
LensRaffle,Giveaway module for the lens protocol. Easily give some matic to a truly random follower of a profile. Use it for any dapp built on lens.,https://ethglobal.com/showcase/lens-mandala-t9jkr,Developer Tooling,Hackaton,No,LFGROW
Lens Mandala,Gradual growth of flowers based on NFT and Lens information can make it easier to see how the community is thriving and how people are connected,https://ethglobal.com/showcase/lens-mandala-t9jkr,Other,Hackaton,No,LFGROW
Lens Collect Auctions,Run Dutch (decreasing) & English (increasing bids) auctions for collecting Lens posts,https://ethglobal.com/showcase/lens-collect-auctions-5xps5,Developer Tooling,Hackaton,No,LFGROW
Overlens,Personal lens dispatcher with relay and allow list off-chain,https://ethglobal.com/showcase/overlens-bcbt9,Developer Tooling,Hackaton,No,LFGROW
Regenerative Lens,Enable Lens Protocol to create a social network with positive climate impact and gamified system,https://ethglobal.com/showcase/regenerative-lens-z171e,Other,Hackaton,No,LFGROW
MetaLens,Explore exiting content in Lens Protocol Metaverse using MetaLens,https://ethglobal.com/showcase/metalens-1h9z3,Other,Hackaton,No,LFGROW
Summit C,"Using Lens Protocol to create a web3 social media platform for event creators, video streamers, and summit attendees",https://ethglobal.com/showcase/summit-c-lens-events-team-naf06,Events,Hackaton,No,LFGROW
LensBook,"Book club in a book as NFTs powered by Lens, Lit, and Polygon 📚 ⛓",https://ethglobal.com/showcase/lensbook-9w7r5,Other,Hackaton,No,LFGROW
Hacklens,"A decentralised social network that allows hackathon organizers, builders & sponsors to form lasting creative relationships and support each other",https://ethglobal.com/showcase/hacklens-rx3gy,Social Media,Hackaton,No,ETHAMSTERDAM
Lensterdam,"Engaging push notifications for The Lens Protocol with EPNS, TheGraph and POAP",https://ethglobal.com/showcase/lensterdam-iikda,Developer Tooling,Hackaton,No,ETHAMSTERDAM
lensurance,collect module for lens protocol which only allows a single collect per person.,https://ethglobal.com/showcase/lensurance-kyphr,Developer Tooling,Hackaton,No,ETHNEWYORK 2022
Lens Subgraph with EPNS,Basic subgraph with EPNS on Lens protocol. Handle emitted events and read IPFS data to store it on graph level.,https://ethglobal.com/showcase/lens-subgraph-with-epns-1gwt3,Developer Tooling,Hackaton,No,ETHNEWYORK 2022
lens-it,App that lets you make private publications on Lens Protocol.,https://ethglobal.com/showcase/lens-it-f7xof,Other,Hackaton,No,HACKFS 2022
Lensgame,A decentralised game and in-game item marketplace built on Lensprotocol.,https://lensgame-marketplace.vercel.app/,Other,Hackaton,No,HACKFS 2022
Bloglens,"Bloglens, a Blogging Platform where creators own what they write and can monetise their writing.",https://ethglobal.com/showcase/bloglens-zmyd1,Other,Hackaton,No,HACKFS 2022
Lensblog,Mind Tales is a Blogging platform build on top of the Lens protocol. We used GraphQl API provided by Lens Protcol to build Mind Tales.,https://ethglobal.com/showcase/lens-blog-83q6s,Other,Hackaton,No,HACKFS 2022
LensLibrary,"A scientific hub for share your ideas, write your opinion, own your content and be rewarded for your contribution",https://ethglobal.com/showcase/lens-library-v08g8,Other,Hackaton,No,ETHMexico2022
SocialLens,"An immersive VR social app in which people can share, experience, discover and collect any NFT contents to their own wallet.",https://ethglobal.com/showcase/socialens-gkoom,Other,Hackaton,No,ETHMexico2022
LensDAO,Lens DAO is a smart contract for building DAOs whose governance token is a FollowNFT from Lens Protocol,https://showcase.ethglobal.com/daohacks/lens-dao-w2n20,DAO Tools,Hackaton,No,DAOHacks2022
Lens manager,,https://ethglobal.com/showcase/lens-manager-qwneh,Other,Hackaton,No,ETHMexico2022
Lenstube,LensTube is a decentralized video sharing platform built using Lens Protocol and Livepeer,https://lenstube.xyz,Social Media,Hackaton,Yes,LFGROW
Flourish,Flourish is a @LensProtocol interface that helps people meeting IRL exchange their Lens profiles effortlessly.,https://flourish-delta.vercel.app,Other,Hackaton,No,ETHNEWYORK 2022
Lenster,Social media application,https://lenster.xyz,Social Media,Hackaton,Yes,LFGROW
Kontour,,https://www.kontour.io,Other,Hackaton,No,DAOHacks2022
Sepana,Search layer for Lens posts,https://lens.sepana.io,Developer Tooling,Hackaton,Yes,LFGROW
Lens Booster,Lens Booster is an engage to earn protocol,https://lensbooster.xyz,Other,Hackaton,No,ETHAMSTERDAM
LensAlert,Lens notifications in Telegram,https://lensalert.me,Other,Application,No,
LensAI,"LensAI is a text2Image NFT generator, you can monetize your beautiful AI creations",https://thegallerydao.vercel.app/login,Other,Application,No,
MashMesh,"On https://social.mashmesh.knn3.xyz/, you can put in anyone's ENS / Lens handle name / Ethereum address to explore one's social relationship on Lens protocol. Not like the traditional list view, in LensOnMashMesh, you can explore social relations in graph style, which means you can literally see the original view of the social network.",https://social.mashmesh.knn3.xyz/,Identity,Application,No,ETHBogota2022
Meetvers,Find friends with similar Web3 footprint,https://meetvers.io/,Other,Application,No,
Embed,Easily embed Lens post anywhere,https://embed.withlens.app,Other,Application,Yes,
Lens Hotlink,Links to Lens Protocol posts/profiles that open in the user's preferred frontend,https://open.withlens.app,Developer Tooling,Application,Yes,
Reflect,Reflect your Lens posts to Twitter,https://reflect.withlens.app,Other,Application,Yes,
Garden,Links only your Lens followers can access,https://garden.withlens.app,Other,Application,Yes,
Lensta,"Feed of the most recent images posted on Lens Protocol ",https://www.lensta.xyz/,Social Media,Application,Yes,
LensPort,"Discover, collect, and sell posts. Invest in creators you support.",https://lensport.io,Other,Application,Yes,
Ooh La La,"Music NFT aggregator that provides a single interface
for discovering, streaming, and interacting with music NFTs.",https://www.oohlala.xyz,Other,Application,No,
wavWRLD,Building infrastructure to enable unique musical experiences that connect artist with their true fans,https://wavwrld.com,Other,Application,No,
Lensmo,"Send NFTs/tokens to any social account, no wallet required",https://www.lensmo.xyz,Other,Application,No,ETHOnline2022
zkGraph,"StarkNet and Lens Protocol compatible smart contracts-based social graph, fully composable and user-owned ",https://www.zkgraph.xyz,Other,Application,No,
Harfang,Postal NFT creator and marketplace,https://harfang.app,Other,Application,No,
Memester,The NFT Meme Platform,https://testnet.memester.xyz,Other,Application,No,
re:meme,"On-chain meme generator, built on top of Lens Protocol",https://www.rememe.lol,Other,Application,No,
Lenscast,Web3 Social Raycast Extension built with Lens Protocol,https://www.raycast.com/peduarte/lenscast,Developer Tooling,Application,No,
Lens Share,Twitter clone,https://lens-share.apoorv.xyz/,Other,Application,Yes,
Leaderbord WithLens,Leaderboard of everything lens,https://leaderboard.withlens.app/,Analytics,Application,Yes,
InLens,,https://inlens.xyz/,Other,Application,Yes,
Stats Lens,,https://stats.lens.xyz/,Analytics,Application,Yes,
LensScore,Scoring for profiles (anti-bot),https://devpost.com/software/lensscore-for-defi-lending-and-web3-interactions,Moderation,Application,Yes,
Monemetrics,,https://monemetrics.com/,Developer Tooling,Application,No,
Superclub,,https://www.superclub.xyz/,Social Media,Application,No,
Fanstastic,,https://fanstastic.app/,Social Media,Application,No,
Welook,,https://welook.io/,Identity,Application,No,
APPrende,APPrende is a learn to earn platform that empowers individuals to begin their blockchain journey.,https://ethglobal.com/showcase/apprende-i4b4m,Other,Application,No,
Serif,,https://linktr.ee/serif.space,Other,Application,No,
DAOscourse,,https://daoscourse.com/,DAO Tools,Application,No,
Paragraph (formerly Papyrus),,https://papyrus.so/,Other,Application,No,
MaisonDAO,,https://maisondao.world/,Other,Application,No,
Saturn,,https://twitter.com/Saturnuvers,Other,Application,No,
TeaParty,,https://app.teaparty.life/,Other,Application,Yes,
Ascend,,https://www.weascendnow.com/,Other,Application,No,
Heystacks,,https://heystacks.com/,Other,Application,No,
SoundIt,," https://soundit.com/",Social Media,Application,No,
AMHO Atelier,,https://amho.xyz/,Other,Application,No,
Are.Na,,https://www.are.na/,Other,Application,No,
Phaver,,https://phaver.com,Social Media,Application,Yes,
PhiLand,,https://philand.xyz,Other,Application,No,
Gliss,,https://glissco.notion.site,Other,Application,No,
Nimi,,https://nimi.eth.limo,Identity,Application,No,
Merlin,,https://www.getmerlin.xyz,Analytics,Application,No,
Gummys,,https://www.gummys.io,Social Media,Application,No,
AlwaysOnline,,https://aol.xyz/,Other,Application,No,
Mad.Finance,,https://madfinance.xyz/,Other,Application,No,
Cultivator,,https://cultivator.cc,Other,Application,Yes,
Clipto,,https://clipto.io,Other,Application,No,
Alps Finance,,https://app.alps.finance/,Other,Application,No,
Soclly,,https://www.soclly.com,Other,Application,No,
Orb,,https://orb.ac,Social Media,Application,Yes,
Hashchat,,https://www.hashchat.xyz,Other,Application,No,
StemsDAO,,https://www.stemsdao.com,Other,Application,No,
Troop,,https://www.troop.finance,Other,Application,No,
Share,,https://theshr.xyz,Other,Application,No,
Zilly,,https://zilly.social,Social Media,Application,No,
Troop.Finance,,https://www.troop.finance,Social Media,Integration,No,
Iris,,https://irisapp.xyz,Social Media,Integration,No,
Lens.js,JS SDK,https://github.com/suhailkakar/lens.js,Developer Tooling,Library,Yes,
Lens Kit,react lens hooks,https://github.com/daoleno/lenskit,Developer Tooling,Library,Yes,
Dune:niftytable,Dune analyitics Lens dashboard by oxCofi,https://dune.com/niftytable/Lens,Analytics,Dashboard,Yes,
TokenGatedReferenceModule,A reference module that validates that the user who tries to reference has a required minimum balance of ERC20/ERC721 token.,https://github.com/lens-protocol/modules/blob/master/contracts/reference/TokenGatedReferenceModule.sol,Creator monetization,Module,Yes,
DegreesOfSeparationReferenceModule,"This reference module allows to set a degree of separation n
, and then allows to comment/mirror only to profiles that are at most at n
 degrees of separation from the author of the root publication.",https://github.com/lens-protocol/modules/blob/master/contracts/reference/DegreesOfSeparationReferenceModule.sol,Creator monetization,Module,Yes,
AuctionCollectModule,"This module works by creating an English auction for the underlying publication. After the auction ends, only the auction winner is allowed to collect the publication.",https://github.com/lens-protocol/modules/blob/master/contracts/collect/AuctionCollectModule.sol,Creator monetization,Module,Yes,
UpdatableOwnableFeeCollectModule,"A fee collect module that, for each publication that uses it, mints an ERC-721 ownership-NFT to its author. Whoever owns the ownership-NFT has the rights to update the parameters required to do a successful collect operation over its underlying publication.",https://github.com/lens-protocol/modules/blob/master/contracts/collect/UpdatableOwnableFeeCollectModule.sol,Creator monetization,Module,Yes,
AaveFeeCollectModule,Extend the LimitedFeeCollectModule to deposit all received fees into the Aave Polygon Market (if applicable for the asset) and send the resulting aTokens to the beneficiary.,https://github.com/lens-protocol/modules/blob/master/contracts/collect/AaveFeeCollectModule.sol,Creator monetization,Module,Yes,